Player,Pos,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,Salary 2023-2024,Signed Using,Guaranteed,Role
Treveon Graham,SG,Atlanta Hawks,0.0,4.4,11.7,0.373,2.3,6.5,0.35100000000000003,2.1,5.3,0.4,1.6,3.3,0.474,3.9,4.9,8.8,2.6,1.2,0.7,1.8,6.3,12.6,104.0,117.0,26.0,22.0,266.0,8.0,0.478,0.552,0.284,8.8,11.5,10.1,7.6,1.2,1.3,11.7,13.3,0.0,0.1,0.1,0.022000000000000002,-3.2,-1.7,-4.9,-0.2,1678854.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1678854.0,Third Unit
Dewayne Dedmon,C,Atlanta Hawks,8.0,6.6,16.8,0.39299999999999996,1.6,7.2,0.222,5.0,9.6,0.521,1.4,1.6,0.875,2.8,13.6,16.4,1.4,2.0,3.0,2.0,8.0,16.2,94.0,107.0,30.0,10.0,233.0,11.4,0.46299999999999997,0.429,0.095,6.4,31.8,18.9,4.3,2.0,5.4,10.3,17.4,-0.2,0.3,0.2,0.032,-4.5,0.1,-4.4,-0.1,13333334.0,13333333.0,13333333.0,0.0,0.0,0.0,NaN,40000000.0,Third Unit
Chandler Parsons,SF,Atlanta Hawks,0.0,4.3,15.5,0.278,3.5,12.1,0.28600000000000003,0.9,3.5,0.25,0.0,0.0,,0.9,5.2,6.0,2.6,3.5,0.9,2.6,2.6,12.1,77.0,112.0,31.0,5.0,54.0,5.6,0.389,0.778,0.0,2.0,12.1,7.0,7.5,3.5,1.6,14.3,16.1,-0.1,0.0,-0.1,-0.066,-4.7,-1.3,-6.0,-0.1,25102511.0,0.0,0.0,0.0,0.0,0.0,NaN,25102511.0,Third Unit
Paul Watson,SG,Atlanta Hawks,0.0,0.0,19.2,0.0,0.0,8.2,0.0,0.0,11.0,0.0,0.0,0.0,,0.0,5.5,5.5,8.2,2.7,0.0,0.0,2.7,0.0,27.0,114.0,25.0,2.0,17.0,-7.1,0.0,0.429,0.0,0.0,12.8,6.3,21.1,2.7,0.0,0.0,17.1,-0.1,0.0,-0.1,-0.32,-12.3,-1.6,-13.9,-0.1,50752.0,0.0,0.0,0.0,0.0,0.0,NaN,50752.0,Third Unit
Reggie Jackson,PG,Detroit Pistons,10.0,9.8,25.6,0.384,4.0,10.6,0.37799999999999995,5.8,15.0,0.38799999999999996,3.4,4.3,0.7879999999999999,1.4,3.9,5.3,9.3,1.0,0.1,3.0,2.7,27.0,106.0,117.0,29.0,14.0,381.0,14.8,0.49200000000000005,0.414,0.16699999999999998,3.2,9.1,6.1,30.8,1.0,0.2,9.8,27.0,0.3,0.1,0.4,0.047,1.7,-2.2,-0.5,0.1,17286956.0,0.0,0.0,0.0,0.0,0.0,NaN,17286956.0,Third Unit
Tim Frazier,PG,Detroit Pistons,11.0,4.7,13.0,0.36200000000000004,1.4,4.2,0.33299999999999996,3.3,8.9,0.375,2.6,3.3,0.792,1.2,3.3,4.6,12.9,1.9,0.6,5.0,5.8,13.4,99.0,114.0,29.0,27.0,355.0,9.8,0.46399999999999997,0.319,0.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,-0.1,0.2,0.1,0.016,-2.9,-1.6,-4.5,-0.2,1882867.0,0.0,0.0,0.0,0.0,0.0,NaN,1882867.0,Third Unit
Brandon Knight,PG,Detroit Pistons,3.0,6.9,18.0,0.38299999999999995,5.8,14.9,0.38799999999999996,1.1,3.1,0.35700000000000004,3.6,4.7,0.762,0.2,4.5,4.7,8.5,1.1,0.2,4.9,4.5,23.1,106.0,116.0,28.0,9.0,221.0,11.9,0.5760000000000001,0.8270000000000001,0.259,0.5,10.4,5.4,25.6,1.1,0.4,19.6,22.2,0.1,0.1,0.2,0.046,0.5,-2.5,-2.0,0.0,15643750.0,0.0,0.0,0.0,0.0,0.0,NaN,15643750.0,Third Unit
John Henson,PF,Detroit Pistons,6.0,8.9,13.3,0.667,0.5,1.3,0.4,8.4,12.0,0.696,1.6,3.4,0.462,3.7,8.9,12.6,2.9,2.1,2.6,3.9,6.0,19.9,112.0,108.0,29.0,11.0,188.0,17.1,0.67,0.098,0.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,0.2,0.2,0.4,0.11,-1.1,1.7,0.6,0.1,9732396.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,9732396.0,Third Unit
Khyri Thomas,SG,Detroit Pistons,0.0,4.0,13.7,0.294,4.0,11.3,0.35700000000000004,0.0,2.4,0.0,1.6,3.2,0.5,0.8,0.0,0.8,2.4,2.4,0.0,2.4,7.3,13.7,88.0,116.0,23.0,8.0,61.0,3.2,0.45299999999999996,0.8240000000000001,0.235,1.8,0.0,0.9,6.7,2.4,0.0,13.8,15.6,-0.1,0.0,0.0,-0.038,-6.1,-1.8,-7.9,-0.1,838464.0,1663861.0,0.0,0.0,0.0,0.0,MLE,838464.0,Third Unit
Donta Hall,PF,Detroit Pistons,0.0,1.0,4.1,0.25,0.0,0.0,,1.0,4.1,0.25,4.1,6.1,0.667,6.1,9.2,15.4,2.0,1.0,1.0,2.0,9.2,6.1,111.0,112.0,22.0,4.0,48.0,7.3,0.452,0.0,1.5,14.0,21.6,17.7,5.3,1.0,1.7,23.1,7.9,0.0,0.0,0.1,0.067,-5.6,-1.4,-7.1,-0.1,50752.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,50752.0,Third Unit
