PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Tyus Jones,MIN,23,68,29,39,22.9,108.4,108.7,-0.3,28.4,6.96,38.6,1.4,6.9,4.1,5.5,46.0,49.1,13.9,102.43,9.5
Wes Iwundu,ORL,24,68,36,32,18.1,104.9,103.1,1.7,8.0,1.66,16.7,2.7,10.8,6.8,10.0,46.5,53.1,12.5,101.34,5.6
Zaza Pachulia,DET,35,68,35,33,12.9,100.8,105.3,-4.6,16.1,1.60,22.9,10.1,18.4,14.1,14.4,44.0,53.9,14.7,99.89,8.8
Clint Capela,HOU,25,67,44,23,33.6,114.0,108.7,5.4,7.0,1.02,9.3,13.0,24.1,18.5,9.1,64.8,65.8,18.0,98.21,15.6
DeMarre Carroll,BKN,32,67,36,31,25.4,108.2,106.2,1.9,7.5,1.16,10.1,3.7,15.1,9.4,8.6,48.7,54.6,18.1,102.96,9.2
Derrick White,SAS,24,67,41,26,25.8,111.8,107.1,4.8,20.6,2.71,27.5,2.2,11.6,7.2,10.1,52.3,55.5,17.8,98.75,9.6
Enes Kanter,POR,27,67,28,39,24.5,106.4,112.6,-6.2,12.0,0.98,11.6,13.8,24.5,18.8,11.8,55.6,59.4,21.9,100.15,15.2
Ersan Ilyasova,MIL,32,67,49,18,18.4,111.2,101.5,9.7,5.6,1.08,10.1,7.1,15.1,11.2,9.3,51.4,54.8,15.1,105.02,7.1
Josh Hart,LAL,24,67,31,36,25.6,105.1,104.7,0.4,7.2,1.60,14.4,1.9,10.9,6.5,9.0,50.6,52.6,13.0,105.57,6.3
Jrue Holiday,NOP,29,67,30,37,35.8,113.5,109.1,4.4,30.8,2.47,25.9,3.0,9.9,6.5,10.5,52.3,55.5,25.0,104.13,12.7
Kent Bazemore,ATL,29,67,24,43,24.5,102.5,110.2,-7.7,14.4,1.26,14.6,2.0,12.6,7.2,11.7,47.2,50.7,21.5,106.15,8.3
Kyrie Irving,BOS,27,67,37,30,33.0,113.4,107.1,6.2,33.0,2.70,23.5,3.1,11.3,7.2,8.7,55.7,59.2,28.6,102.01,15.7
Larry Nance Jr.,CLE,26,67,16,51,26.8,105.8,114.6,-8.8,17.9,2.21,25.2,9.0,22.4,15.4,11.4,55.4,58.3,15.2,97.93,12.3
OG Anunoby,TOR,21,67,46,21,20.2,104.9,106.5,-1.7,5.0,0.85,8.8,4.0,10.0,6.9,10.3,53.6,54.4,14.8,103.04,5.7
Daniel Theis,BOS,27,66,38,28,13.8,110.0,102.6,7.4,10.8,2.06,16.9,8.8,14.5,11.6,8.2,59.8,62.4,15.0,102.84,9.5
Draymond Green,GSW,29,66,48,18,31.3,115.8,105.0,10.7,26.1,2.69,41.9,3.1,18.0,11.2,15.6,50.1,52.6,12.8,103.58,9.8
Justise Winslow,MIA,23,66,30,36,29.7,107.6,104.2,3.4,21.3,1.99,22.8,3.1,14.1,8.6,11.5,49.7,51.3,20.6,99.61,9.7
Mitchell Robinson,NYK,21,66,16,50,20.6,103.3,109.5,-6.2,4.2,1.06,8.8,12.2,16.6,14.4,8.3,69.4,69.2,11.9,101.10,11.5
Rodney McGruder,LAC,27,66,31,35,23.5,104.9,106.2,-1.4,10.3,1.75,16.8,3.5,10.6,7.0,9.6,48.9,51.0,14.7,100.63,6.8
Stanley Johnson,NOP,23,66,28,38,18.3,95.5,103.4,-7.9,11.8,1.09,13.8,2.5,14.2,8.1,12.7,45.9,48.5,18.6,102.99,7.9
Anthony Tolliver,MIN,34,65,27,38,16.6,104.5,108.6,-4.1,5.9,1.28,12.6,1.2,14.3,7.5,9.9,53.9,57.1,12.1,102.57,6.4
JaMychal Green,LAC,29,65,31,34,21.1,103.3,109.1,-5.8,5.8,0.57,7.6,7.1,21.8,14.3,13.2,55.8,58.7,18.5,101.90,10.3
Jimmy Butler,PHI,29,65,38,27,33.6,111.9,108.3,3.6,17.9,2.77,18.5,5.4,9.4,7.5,6.7,49.9,57.1,21.8,102.44,12.6
Kyle Lowry,TOR,33,65,47,18,34.1,116.2,105.5,10.7,32.9,3.10,36.1,1.9,11.4,6.9,11.6,51.8,56.2,19.1,101.37,11.5
Tim Hardaway Jr.,DAL,27,65,14,51,31.6,105.4,114.5,-9.1,12.5,1.51,11.7,1.5,9.0,5.1,7.7,47.4,52.7,24.6,101.00,8.5
Alec Burks,SAC,27,64,19,45,21.5,103.6,114.6,-11.1,14.2,1.97,17.7,2.1,15.1,8.4,9.0,46.9,52.3,18.5,99.46,9.1
Allonzo Trier,NYK,23,64,13,51,22.8,102.1,109.3,-7.2,13.1,1.03,13.9,2.0,10.7,6.3,13.6,49.8,56.4,20.7,101.44,9.0
Cheick Diallo,NOP,22,64,27,37,14.0,105.3,110.0,-4.7,5.1,0.67,8.6,7.9,26.0,17.1,12.8,62.2,64.4,15.5,107.19,12.1
Dante Cunningham,SAS,32,64,36,28,14.5,103.7,111.9,-8.2,7.2,2.27,20.9,4.9,14.8,9.8,9.2,57.0,58.5,8.6,100.84,6.7
Devin Booker,PHX,22,64,15,49,35.0,108.2,115.1,-6.9,32.7,1.64,20.2,1.7,9.9,5.8,12.3,52.1,58.4,32.0,102.17,13.4
Dewayne Dedmon,ATL,29,64,24,40,25.1,107.9,112.0,-4.1,7.9,1.07,12.1,6.3,22.9,14.5,11.3,57.1,60.2,16.6,103.89,10.7
Fred VanVleet,TOR,25,64,46,18,27.5,113.1,105.0,8.1,24.3,3.74,29.6,1.2,7.8,4.6,7.9,50.3,53.9,17.7,99.90,9.5
Jabari Parker,WAS,24,64,18,46,26.9,104.6,110.8,-6.2,14.0,1.01,13.5,4.5,18.7,11.7,13.4,53.3,56.0,23.6,102.85,11.1
Jamal Crawford,PHX,39,64,13,51,18.9,101.4,116.5,-15.1,28.3,2.31,28.3,0.6,6.1,3.4,12.2,47.4,52.2,19.8,103.99,8.3
Joel Embiid,PHI,25,64,43,21,33.7,112.5,104.8,7.6,18.5,1.04,12.0,7.5,29.2,19.1,11.6,51.7,59.3,32.7,103.92,19.6
Malcolm Brogdon,MIL,26,64,49,15,28.6,113.4,102.7,10.7,15.7,2.25,18.5,3.5,10.7,7.3,8.2,57.5,61.4,20.2,104.93,12.0
Michael Kidd-Gilchrist,CHA,25,64,29,35,18.4,106.4,107.4,-0.9,7.7,1.42,12.4,6.9,12.9,9.8,8.7,50.0,55.3,15.3,100.91,7.5
Mike Muscala,LAL,27,64,35,29,20.4,107.6,106.5,1.0,8.1,1.58,14.6,4.1,13.3,8.8,9.2,52.5,56.4,13.8,105.03,7.0
Shaun Livingston,GSW,33,64,45,19,15.1,110.5,107.3,3.2,15.4,3.00,29.7,4.3,7.1,5.8,9.9,51.9,55.5,11.8,101.37,7.3
Sindarius Thornwell,LAC,24,64,37,27,4.9,96.9,97.7,-0.8,7.9,0.90,17.6,1.5,10.8,6.3,19.6,37.8,48.5,10.5,111.40,3.2
Thon Maker,DET,22,64,44,20,15.2,104.3,103.4,0.9,6.6,1.36,11.7,3.9,14.9,9.5,8.5,49.8,53.0,14.8,101.10,7.4
Trey Lyles,DEN,23,64,42,22,17.5,105.7,105.7,0.0,11.6,1.28,12.4,3.6,17.2,10.3,9.7,47.0,50.0,22.9,100.85,9.4
Avery Bradley,MEM,28,63,31,32,30.2,108.7,110.2,-1.5,11.4,1.71,17.5,2.2,6.5,4.4,10.2,47.9,49.6,16.0,101.13,4.7
Luke Kennard,DET,23,63,30,33,22.8,108.5,108.2,0.3,12.2,2.00,15.9,0.8,12.1,6.2,8.0,54.0,56.0,17.9,97.34,9.0
Patrick Patterson,OKC,30,63,40,23,13.7,101.5,107.3,-5.7,4.9,1.41,10.9,4.3,11.4,7.8,7.7,47.9,49.3,11.8,105.18,6.0
Reggie Bullock,LAL,28,63,27,36,29.8,109.0,110.3,-1.3,9.6,1.98,15.8,1.1,8.2,4.5,8.0,53.7,56.3,15.4,101.09,6.9
Rodions Kurucs,BKN,21,63,36,27,20.5,107.0,107.4,-0.4,5.7,0.68,8.4,4.0,13.1,8.6,12.4,51.4,54.5,17.5,106.04,6.9
Zach LaVine,CHI,24,63,16,47,34.5,105.8,112.4,-6.5,22.4,1.32,15.9,1.8,11.3,6.6,12.0,52.0,57.4,29.8,99.98,12.5
Iman Shumpert,HOU,29,62,39,23,23.9,109.1,110.5,-1.4,9.8,2.24,17.8,1.6,10.1,5.7,8.0,48.1,49.9,14.3,103.82,5.7
Marvin Bagley III,SAC,20,62,30,32,25.3,107.8,111.0,-3.2,6.0,0.63,6.3,9.2,18.0,13.6,9.9,52.5,56.2,23.7,104.19,12.4
Tyrone Wallace,LAC,25,62,34,28,10.1,108.0,104.2,3.7,9.0,1.17,13.1,3.0,11.1,7.2,11.2,43.3,45.0,17.4,108.09,4.3
Abdel Nader,OKC,25,61,38,23,11.4,96.4,105.8,-9.5,4.4,0.77,7.3,1.7,13.9,7.5,9.5,49.8,52.2,14.8,104.97,6.6
Frank Jackson,NOP,21,61,22,39,19.2,106.3,111.3,-5.0,8.0,1.44,11.6,1.9,8.5,5.2,8.1,49.3,51.7,17.8,107.41,5.9
John Collins,ATL,21,61,24,37,30.0,111.7,113.0,-1.4,10.2,1.01,10.2,11.2,19.6,15.4,10.2,59.3,62.7,23.0,105.00,13.6
Meyers Leonard,POR,27,61,35,26,14.4,108.5,112.2,-3.7,12.3,1.74,19.6,5.5,20.6,13.0,11.2,64.9,67.5,14.9,100.30,10.8
Pat Connaughton,MIL,26,61,43,18,20.7,111.0,106.1,5.0,12.8,3.70,23.3,4.6,13.5,9.2,6.3,56.0,57.3,13.0,104.84,9.4
