Player,Team,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Bruno Caboclo,MEM,670211,670211,1845301,0,0,0,0
Bryn Forbes,SAS,6000000,3125000,2875000,0,0,0,0
Buddy Hield,SAC,8694968,3833760,4861208,0,0,0,0
C.J. Miles,MEM,8333333,8333333,8730158,0,0,0,0
C.J. Watson,ORL,666666,333333,333333,0,0,0,0
CJ McCollum,POR,82670877,25759766,27556959,29354152,0,0,0
Caleb Swanigan,SAC,3773160,1740000,2033160,3665787,0,0,0
Cameron Payne,CHI,3263295,3263295,0,0,0,0,0
Cameron Payne,CLE,177063,177063,0,0,0,0,0
Cameron Reynolds,MIN,203695,203695,0,0,0,0,0
Caris LeVert,BRK,4328518,1702800,2625718,0,0,0,0
Carlos Delfino,LAC,650000,650000,0,0,0,0,0
Carmelo Anthony,ATL,25534253,25534253,0,0,0,0,0
Carmelo Anthony,CHI,2393887,2393887,0,0,0,0,0
Caron Butler,SAC,517219,517219,0,0,0,0,0
Cedi Osman,CLE,5682143,2775000,2907143,0,0,0,0
Chandler Hutchison,CHI,4323840,1991520,2332320,2443440,4019459,0,0
Chandler Parsons,MEM,24107258,24107258,25102511,0,0,0,0
Channing Frye,CLE,2393887,2393887,0,0,0,0,0
Charles Cooke,MIA,76236,76236,0,0,0,0,0
Chasson Randle,WAS,869094,869094,0,0,0,0,0
Cheick Diallo,NOP,1544951,1544951,0,0,0,0,0
Chimezie Metu,SAS,2255316,838464,1416852,1663861,0,0,0
Chinanu Onuaku,DAL,1544951,1544951,0,0,0,0,0
Chris Bosh,MIA,26837720,26837720,0,0,0,0,0
Chris Boucher,TOR,582418,457418,1588231,0,0,0,0
Chris Chiozza,HOU,137376,137376,1416852,1663861,0,0,0
Chris Paul,HOU,35654150,35654150,38506482,41358814,44211146,0,0
Christian Wood,NOP,1512601,1512601,1645357,0,0,0,0
Clint Capela,HOU,87380061,15293104,16456522,17500000,18543478,19586957,0
Cody Demps,SAC,47371,47371,0,0,0,0,0
Cody Zeller,CHO,43415730,13528090,14471910,15415730,0,0,0
Cole Aldrich,MIN,2056021,685341,685340,685340,0,0,0
Collin Sexton,CLE,8833560,4068600,4764960,4991880,6349671,0,0
Corey Brewer,PHI,270496,270496,0,0,0,0,0
Corey Brewer,SAC,2270496,2270496,0,0,0,0,0
Cory Joseph,IND,7945000,7945000,0,0,0,0,0
Courtney Lee,DAL,25013450,12253780,12759670,0,0,0,0
Cristiano Felício,CHI,24156500,8470980,8156500,7529020,0,0,0
D'Angelo Russell,BRK,7019698,7019698,0,0,0,0,0
D.J. Augustin,ORL,14500000,7250000,7250000,0,0,0,0
D.J. Wilson,MIL,5495400,2534280,2961120,4548280,0,0,0
Dairis Bertāns,NOP,194220,194220,0,0,0,0,0
Dakari Johnson,MEM,1378242,459414,459414,459414,0,0,0
Damian Jones,GSW,1544951,1544951,2305057,0,0,0,0
Damian Lillard,POR,285406963,27977689,29802321,31626953,43750000,47250000,50750000
Damyean Dotson,NYK,2996762,1378242,1618520,0,0,0,0
Daniel Hamilton,ATL,1349383,1349383,0,0,0,0,0
Daniel Theis,BOS,6378242,1378242,0,0,0,0,0
Danilo Gallinari,LAC,21587579,21587579,22615559,0,0,0,0
Danny Green,TOR,10000000,10000000,0,0,0,0,0
Dante Cunningham,SAS,2500000,2500000,0,0,0,0,0
Dante Exum,UTA,27300000,9600000,9600000,9600000,0,0,0
Danuel House,HOU,11094003,94003,0,0,0,0,0
Dario Šarić,MIN,2526840,2526840,3481986,0,0,0,0
Darius Miller,NOP,9055000,2205000,0,0,0,0,0
Darrell Arthur,PHO,7464912,7464912,0,0,0,0,0
Darren Collison,IND,10000000,10000000,0,0,0,0,0
David Nwaba,CLE,1512601,1512601,0,0,0,0,0
Davon Reed,PHO,1378242,1378242,0,0,0,0,0
De'Aaron Fox,SAC,11863680,5470920,6392760,8099627,0,0,0
De'Anthony Melton,PHO,949000,949000,1416852,0,0,0,0
DeAndre Jordan,NYK,22900000,22900000,0,0,0,0,0
DeAndre' Bembry,ATL,4238622,1634640,2603982,0,0,0,0
DeMar DeRozan,SAS,55479950,27739975,27739975,27739975,0,0,0
DeMarcus Cousins,GSW,5337000,5337000,0,0,0,0,0
DeMarre Carroll,BRK,15400000,15400000,0,0,0,0,0
Deandre Ayton,PHO,17728080,8165160,9562920,10018200,12632950,0,0
Dejounte Murray,SAS,3866686,1544951,2321735,0,0,0,0
Delon Wright,MEM,2536898,2536898,0,0,0,0,0
Demetrius Jackson,BOS,557142,92857,92857,92857,92857,92857,92857
Dennis Schröder,OKC,46500000,15500000,15500000,15500000,0,0,0
Dennis Smith,NYK,8283600,3819960,4463640,5686677,0,0,0
Denzel Valentine,CHI,5658169,2280600,3377569,0,0,0,0
Deonte Burton,OKC,151587,151587,1416852,0,0,0,0
Deron Williams,BRK,10949574,5474787,5474787,0,0,0,0
Derrick Favors,UTA,16000000,16900000,16900000,0,0,0,0
Derrick Jones,MIA,1512601,1512601,1645357,0,0,0,0
Derrick Rose,MIN,2176260,2176260,0,0,0,0,0
Derrick White,SAS,3615240,1667160,1948080,3516284,0,0,0
Devin Booker,PHO,161364365,3314365,27250000,29430000,31610000,33790000,35970000
Devin Harris,DAL,2393887,2393887,0,0,0,0,0
Devonte' Graham,CHO,2405316,988464,1416852,1663861,0,0,0
Dewayne Dedmon,ATL,7200000,7200000,0,0,0,0,0
Deyonta Davis,ATL,196553,196553,1645357,0,0,0,0
Deyonta Davis,SAC,1544951,1544951,0,0,0,0,0
Dillon Brooks,MEM,1378242,1378242,1618520,0,0,0,0
Ding Yanyuhang,DAL,4737,4737,0,0,0,0,0
Dion Waiters,MIA,36300000,11550000,12100000,12650000,0,0,0
Dirk Nowitzki,DAL,5000000,5000000,0,0,0,0,0
Domantas Sabonis,IND,6189355,2659800,3529555,0,0,0,0
Donatas Motiejūnas,SAS,59820,59820,0,0,0,0,0
Donovan Mitchell,UTA,6747240,3111480,3635760,5195501,0,0,0
Donte DiVincenzo,MIL,5386800,2481000,2905800,3044160,4675830,0,0
Dorian Finney-Smith,DAL,13544951,1544951,0,0,0,0,0
Doug McDermott,IND,22000001,7333334,7333334,7333333,0,0,0
Dragan Bender,PHO,4661280,4661280,0,0,0,0,0
Draymond Green,GSW,36008695,17469565,18539130,0,0,0,0
Duncan Robinson,MIA,1009474,9474,1416852,1663861,0,0,0
Dusty Hannahs,MEM,47371,47371,0,0,0,0,0
Dwayne Bacon,CHO,1378242,1378242,1618520,0,0,0,0
Dwight Howard,BRK,18919725,18919725,0,0,0,0,0
Dwight Howard,WAS,5337000,5337000,5603850,0,0,0,0
Dwight Powell,DAL,52890625,9631250,10259375,10185185,11000000,11814815,0
Dwyane Wade,MIA,2393887,2393887,0,0,0,0,0
Dāvis Bertāns,SAS,7000000,7000000,7000000,0,0,0,0
Džanan Musa,BRK,3543840,1632240,1911600,2002800,3615054,0,0
E'Twaun Moore,NOP,17473613,8808685,8664928,0,0,0,0
Ed Davis,BRK,4449000,4449000,0,0,0,0,0
Edmond Sumner,IND,449794,449794,0,0,0,0,0
Ekpe Udoh,UTA,3360000,3360000,0,0,0,0,0
Elfrid Payton,NOP,3000000,3000000,0,0,0,0,0
Emanuel Terry,DEN,35000,35000,0,0,0,0,0
Emanuel Terry,MIA,47371,47371,0,0,0,0,0
Emanuel Terry,PHO,47371,47371,0,0,0,0,0
Emmanuel Mudiay,NYK,4294480,4294480,0,0,0,0,0
Enes Kanter,NYK,18622514,18622514,0,0,0,0,0
Enes Kanter,POR,653556,653556,0,0,0,0,0
Eric Bledsoe,MIL,85000000,15000000,15625000,16875000,18125000,19375000,0
Eric Gordon,HOU,27558105,13500375,14057730,0,0,0,0
Eric Moreland,PHO,239035,239035,0,0,0,0,0
Eric Moreland,TOR,106237,106237,0,0,0,0,0
Ersan İlyasova,MIL,14000000,7000000,7000000,7000000,0,0,0
Evan Fournier,ORL,34000000,17000000,17000000,17000000,0,0,0
Evan Turner,POR,17868852,17868852,18606557,0,0,0,0
Festus Ezeli,POR,666666,333333,333333,0,0,0,0
Frank Jackson,NOP,2996762,1378242,1618520,0,0,0,0
Frank Kaminsky,CHO,3627842,3627842,0,0,0,0,0
Frank Mason,SAC,1378242,1378242,0,0,0,0,0
Frank Ntilikina,NYK,9011520,4155720,4855800,6176578,0,0,0
Fred VanVleet,TOR,17653847,8653847,9000000,0,0,0,0
Furkan Korkmaz,PHI,1740000,1740000,0,0,0,0,0
Garlon Green,NOP,50000,50000,0,0,0,0,0
Garrett Temple,LAC,8000000,8000000,0,0,0,0,0
Gary Clark,HOU,2013724,596872,1416852,1663861,0,0,0
Gary Harris,DEN,74000000,16517857,17839286,19160714,20482143,0,0
Gary Payton,WAS,85458,85458,0,0,0,0,0
Gary Trent,POR,3919177,838464,1416852,1663861,0,0,0
George Hill,MIL,40000000,19000000,1000000,0,0,0,0
Georges Niang,UTA,1512601,1512601,1645357,1783557,0,0,0
Georgios Papagiannis,SAC,2000400,2000400,0,0,0,0,0
Gerald Green,HOU,4958640,2393887,0,0,0,0,0
Giannis Antetokounmpo,MIL,77528091,24157304,25842697,27528090,0,0,0
Glenn Robinson,DET,4075000,4075000,0,0,0,0,0
Goran Dragić,MIA,37327075,18109175,19217900,0,0,0,0
Gordon Hayward,BOS,63914985,31214295,32700690,34187085,0,0,0
Gorgui Dieng,MIN,48687640,15170787,16229213,17287640,0,0,0
Grayson Allen,UTA,2074320,2074320,2429400,2545320,4054695,0,0
Greg Monroe,BOS,122344,122344,0,0,0,0,0
Greg Monroe,BRK,2165481,2165481,0,0,0,0,0
Greg Monroe,PHI,59820,59820,0,0,0,0,0
Guerschon Yabusele,BOS,5784840,2667600,3117240,0,0,0,0
Hamidou Diallo,OKC,2255316,838464,1416852,1663861,0,0,0
Harrison Barnes,SAC,109107258,24107258,0,0,0,0,0
Harry Giles,SAC,4785840,2207040,2578800,3976510,0,0,0
Hassan Whiteside,MIA,25434263,25434263,27093018,0,0,0,0
Henry Ellenson,DET,1857480,1857480,0,0,0,0,0
Henry Ellenson,NYK,427289,427289,0,0,0,0,0
Ian Clark,NOP,1757429,1757429,0,0,0,0,0
Ian Mahinmi,WAS,31394205,15944154,15450051,0,0,0,0
Ike Anigbogu,IND,1378242,1378242,0,0,0,0,0
Iman Shumpert,HOU,11011234,11011234,0,0,0,0,0
Isaac Bonga,LAL,1000000,1000000,1663861,1416852,0,0,0
Isaac Humphries,ATL,47371,47371,0,0,0,0,0
Isaiah Briscoe,ORL,838464,838464,0,0,0,0,0
Isaiah Canaan,MIL,99290,99290,0,0,0,0,0
Isaiah Canaan,MIN,198580,198580,0,0,0,0,0
Isaiah Canaan,PHO,456733,456733,0,0,0,0,0
Isaiah Hartenstein,HOU,838464,838464,1416852,1663861,0,0,0
Isaiah Taylor,CLE,950000,950000,0,0,0,0,0
Isaiah Thomas,DEN,2029463,2029463,0,0,0,0,0
Ish Smith,DET,6000000,6000000,0,0,0,0,0
Ivan Rabb,MEM,1750000,1378242,1618520,0,0,0,0
Ivica Zubac,LAC,22544951,1544951,0,0,0,0,0
J.J. Barea,DAL,3710850,3710850,0,0,0,0,0
J.J. Redick,PHI,12250000,12250000,0,0,0,0,0
J.R. Smith,CLE,19090000,14720000,1456667,1456667,1456666,0,0
JaKarr Sampson,CHI,88531,88531,0,0,0,0,0
JaMychal Green,LAC,12633667,7866667,0,0,0,0,0
JaVale McGee,LAL,10593887,2393887,0,0,0,0,0
Jabari Bird,ATL,1349383,1349383,0,0,0,0,0
Jabari Parker,WAS,20000000,20000000,0,0,0,0,0
Jacob Evans,GSW,3570120,1644240,1925880,2017320,3641263,0,0
Jae Crowder,UTA,7305825,7305825,7815533,0,0,0,0
Jahlil Okafor,NOP,1621330,1567007,1702486,0,0,0,0
Jake Layman,POR,1544951,1544951,0,0,0,0,0
Jakob Pöltl,SAS,6702206,2947320,3754886,0,0,0,0
Jalen Brunson,DAL,4310443,1230000,1416582,1663861,1802057,0,0
Jamaal Franklin,MEM,163296,163296,0,0,0,0,0
Jamal Crawford,ATL,2304226,2304226,0,0,0,0,0
Jamal Crawford,PHO,0,2393887,0,0,0,0,0
Jamal Murray,DEN,7944546,3499800,4444746,0,0,0,0
James Ennis,PHI,3504282,1621415,0,0,0,0,0
James Harden,HOU,152903854,30431854,37800000,40824000,43848000,46872000,0
James Johnson,MIA,30001100,14651700,15349400,16047100,0,0,0
James Nunnally,MIN,655632,655632,0,0,0,0,0
Jared Dudley,BRK,9530000,9530000,0,0,0,0,0
Jarell Martin,ORL,2416222,2416222,0,0,0,0,0
Jaren Jackson,MEM,12842520,5915040,6927480,7257360,9180560,0,0
Jarred Vanderbilt,DEN,2255316,838464,1416852,1663861,0,0,0
Jarrett Allen,BRK,4410960,2034120,2376840,3909902,0,0,0
Jason Smith,NOP,5450000,5450000,0,0,0,0,0
Jason Thompson,GSW,945126,945126,0,0,0,0,0
Jawun Evans,LAC,1378242,1378242,0,0,0,0,0
Jaylen Adams,ATL,336854,236854,100000,0,0,0,0
Jaylen Brown,BOS,11704789,5169960,6534829,0,0,0,0
Jayson Tatum,BOS,14530800,6700800,7830000,9897120,0,0,0
Jeff Green,WAS,2393887,2393887,0,0,0,0,0
Jeff Teague,MIN,38000000,19000000,19000000,0,0,0,0
Jemerrio Jones,LAL,52108,52108,1416852,0,0,0,0
Jerami Grant,OKC,8653847,8653847,9346153,9346153,0,0,0
Jeremy Lamb,CHO,7488372,7488372,0,0,0,0,0
Jeremy Lin,ATL,13768421,13768421,0,0,0,0,0
Jeremy Lin,TOR,697000,697000,0,0,0,0,0
Jerian Grant,ORL,2639314,2639314,0,0,0,0,0
Jerome Robinson,LAC,6613920,3046200,3567720,3737520,5340916,0,0
Jerryd Bayless,MIN,8575916,8575916,0,0,0,0,0
Jevon Carter,MEM,838464,838464,1416852,0,0,0,0
Jimmer Fredette,PHO,198580,198580,0,0,0,0,0
Jimmy Butler,PHI,20445779,20445779,0,0,0,0,0
Joakim Noah,MEM,0,1731173,0,0,0,0,0
Joakim Noah,NYK,37824998,18530000,6431666,6431666,6431666,0,0
Jodie Meeks,MIL,3454500,3454500,0,0,0,0,0
Jodie Meeks,TOR,319677,319677,0,0,0,0,0
Joe Harris,BRK,16003333,8333333,7670000,0,0,0,0
Joe Ingles,UTA,35863638,13045455,11954546,10863637,0,0,0
Joel Embiid,PHI,25467250,25467250,27270000,29290000,31310000,33330000,0
John Collins,ATL,4985640,2299080,2686560,4137302,0,0,0
John Henson,CLE,21059862,11327466,9732396,0,0,0,0
John Jenkins,NYK,198580,198580,0,0,0,0,0
John Jenkins,WAS,99290,99290,0,0,0,0,0
John Wall,WAS,141641800,19169800,37800000,40824000,43848000,46872000,0
Jon Leuer,DET,10002681,10002681,3169348,3169348,3169347,0,0
Jonah Bolden,PHI,3388450,1690000,1698450,1766550,1845000,0,0
Jonas Jerebko,GSW,2165481,2165481,0,0,0,0,0
Jonas Valančiūnas,MEM,61539326,16539326,0,0,0,0,0
Jonathan Gibson,BOS,17092,17092,0,0,0,0,0
Jonathan Isaac,ORL,10775520,4969080,5806440,7362566,0,0,0
Jonathon Simmons,PHI,6000000,6000000,1000000,0,0,0,0
Jordan Bell,GSW,1378252,1378252,0,0,0,0,0
Jordan Clarkson,CLE,25937500,12500000,13437500,0,0,0,0
Jordan McRae,WAS,17092,17092,1645357,0,0,0,0
Jordan Sibert,ATL,47371,47371,0,0,0,0,0
Josh Hart,LAL,1655160,1655160,1934160,3491159,0,0,0
Josh Jackson,PHO,6041520,6041520,7059480,8930242,0,0,0
Josh Okogie,MIN,4691400,2160720,2530680,2651040,4087904,0,0
Josh Richardson,MIA,9367200,9367200,10100000,10800000,11600000,0,0
Josh Smith,DET,10663458,5331729,5331729,0,0,0,0
José Calderón,DET,2393887,2393887,0,0,0,0,0
Jrue Holiday,NOP,78238333,25976111,26131111,26131111,27020000,0,0
Juan Hernangómez,DEN,5487390,2166360,3321030,0,0,0,0
Julius Randle,NOP,8641000,8641000,0,0,0,0,0
Justin Anderson,ATL,2516048,2516048,0,0,0,0,0
Justin Bibbs,LAC,94742,94742,0,0,0,0,0
Justin Hamilton,TOR,2000000,1000000,1000000,0,0,0,0
Justin Holiday,MEM,4384616,4384616,0,0,0,0,0
Justin Jackson,DAL,6088800,2807880,3280920,5029650,0,0,0
Justin Patton,PHI,2667600,2667600,0,0,0,0,0
Justise Winslow,MIA,29448926,3448926,13000000,13000000,13000000,0,0
Jusuf Nurkić,POR,39111111,11111111,12000000,12000000,12000000,0,0
Karl-Anthony Towns,MIN,163709435,7839435,27250000,29430000,31610000,33790000,35970000
Kawhi Leonard,TOR,23114067,23114067,0,0,0,0,0
Keita Bates-Diop,MIN,2255316,838464,1416852,1663861,0,0,0
Kelly Olynyk,MIA,23805412,12137527,11667885,12198243,0,0,0
Kelly Oubre,PHO,33208630,3208630,0,0,0,0,0
Kemba Walker,CHO,12000000,12000000,0,0,0,0,0
Kendrick Nunn,MIA,4737,4737,1416852,1663861,0,0,0
Kenneth Faried,BRK,13764045,13764045,0,0,0,0,0
Kenneth Faried,HOU,917272,917272,0,0,0,0,0
Kenrich Williams,NOP,1038464,838464,1443842,0,0,0,0
Kent Bazemore,ATL,18089887,18089887,19269662,0,0,0,0
Kentavious Caldwell-Pope,LAL,20089282,12000000,0,0,0,0,0
Kevin Durant,GSW,30000000,30000000,0,0,0,0,0
Kevin Huerter,ATL,4887240,2250960,2636280,2761920,4253357,0,0
Kevin Knox,NYK,8120040,3739920,4380120,4588680,5845978,0,0
Kevin Love,CLE,144519025,24119025,28900000,31300000,31300000,28900000,0
Kevin Martin,MIN,1360304,1360304,0,0,0,0,0
Kevon Looney,GSW,11196637,1567007,0,0,0,0,0
Khem Birch,ORL,7378242,1378242,0,0,0,0,0
Khris Middleton,MIL,150103448,13000000,0,0,0,0,0
Khyri Thomas,DET,1676928,838464,838464,1663861,0,0,0
Klay Thompson,GSW,208892325,18988725,0,0,0,0,0
Kobi Simmons,CLE,76236,76236,0,0,0,0,0
Kosta Koufos,SAC,8739500,8739500,0,0,0,0,0
Kris Dunn,CHI,9569007,4221000,5348007,0,0,0,0
Kristaps Porziņģis,DAL,127933854,5697054,0,0,0,0,0
Kyle Anderson,MEM,37156300,8641000,9073050,9505100,9937150,0,0
Kyle Korver,UTA,7560000,7560000,3440000,0,0,0,0
Kyle Kuzma,LAL,3664440,1689840,1974600,3562178,0,0,0
Kyle Lowry,TOR,64496296,31200000,33296296,0,0,0,0
Kyle O'Quinn,IND,4449000,4449000,0,0,0,0,0
Kyle Singler,OKC,4996000,999200,999200,999200,999200,999200,0
Kyrie Irving,BOS,20099189,20099189,0,0,0,0,0
LaMarcus Aldridge,SAS,55347015,22347015,26000000,24000000,0,0,0
Lance Stephenson,LAL,4449000,4449000,0,0,0,0,0
Lance Thomas,NYK,7119650,7119650,0,0,0,0,0
Landry Shamet,LAC,3698760,1703640,1995120,2090040,3768342,0,0
Langston Galloway,DET,14333333,7000000,7333333,0,0,0,0
Larry Nance,CLE,47072391,2272391,12727273,11709091,10690909,9672727,0
Larry Sanders,MIL,7462188,1865547,1865547,1865547,1865547,0,0
Lauri Markkanen,CHI,9836520,4536120,5300400,6731508,0,0,0
LeBron James,LAL,112310573,35654150,37436858,39219565,41002273,0,0
Lonnie Walker,SAS,5117640,2357160,2760480,2892000,4447896,0,0
Lonzo Ball,LAL,7461960,7461960,8719320,11003782,0,0,0
Lorenzo Brown,TOR,800000,800000,0,0,0,0,0
Lou Williams,LAC,24000000,8000000,8000000,8000000,0,0,0
Luc Mbah a Moute,LAC,4320500,4320500,0,0,0,0,0
Luka Dončić,DAL,14244000,6560640,7683360,8049360,10174391,0,0
Luke Kennard,DET,7102440,3275280,3827160,5273826,0,0,0
Luke Kornet,NYK,1619000,1619000,0,0,0,0,0
Luol Deng,LAL,29324067,14354067,4990000,4990000,4990000,0,0
Luol Deng,MIN,2393887,2393887,0,0,0,0,0
Malachi Richardson,PHI,1569360,1569360,0,0,0,0,0
Malcolm Brogdon,MIL,1544951,1544951,0,0,0,0,0
Malcolm Miller,TOR,457418,457418,1588231,0,0,0,0
Malik Beasley,DEN,4505554,1773840,2731714,0,0,0,0
Malik Monk,CHO,7475880,3447480,4028400,5345687,0,0,0
Manu Ginóbili,SAS,2500000,2500000,0,0,0,0,0
MarShon Brooks,CHI,1656092,1656092,0,0,0,0,0
Marc Gasol,TOR,49714725,24119025,25595700,0,0,0,0
Marcin Gortat,LAC,13565218,13565218,0,0,0,0,0
Marco Belinelli,SAS,12000000,6153846,5846154,0,0,0,0
Marcus Morris,BOS,5375000,5375000,0,0,0,0,0
Marcus Smart,BOS,51999900,11660716,12553471,13446428,14339285,0,0
Mario Hezonja,NYK,6500000,6500000,0,0,0,0,0
Markelle Fultz,ORL,18085080,8339880,9745200,12288697,0,0,0
Markieff Morris,NOP,8600000,8600000,0,0,0,0,0
Markieff Morris,OKC,573295,573295,0,0,0,0,0
Marquese Chriss,CLE,3206160,3206160,0,0,0,0,0
Martell Webster,WAS,833333,833333,0,0,0,0,0
Marvin Bagley,SAC,15861720,7305600,8556120,8963640,11312114,0,0
Marvin Williams,CHO,29093750,14087500,15006250,0,0,0,0
Mason Plumlee,DEN,26958904,12917808,14041096,0,0,0,0
Matt Barnes,SAC,4267083,2133542,2133541,0,0,0,0
Matthew Dellavedova,CLE,19215000,9607500,9607500,0,0,0,0
Maurice Harkless,POR,10837079,10837079,11511234,0,0,0,0
Maxi Kleber,DAL,35378242,1378242,0,0,0,0,0
Melvin Frazier,ORL,2466852,1050000,1416852,1663861,0,0,0
Meyers Leonard,POR,10595506,10595506,11286515,0,0,0,0
Michael Beasley,LAC,3500000,3500000,0,0,0,0,0
Michael Carter-Williams,CHI,1200000,1200000,0,0,0,0,0
Michael Carter-Williams,ORL,2326464,297870,0,0,0,0,0
Michael Frazier,HOU,23685,23685,1416852,1663861,0,0,0
Michael Kidd-Gilchrist,CHO,26000000,13000000,13000000,0,0,0,0
Michael Porter,DEN,6283560,2894160,3389400,3550800,5258735,0,0
Mikal Bridges,PHO,7713960,3552960,4161000,4359000,5557725,0,0
Mike Conley,MEM,30521116,30521116,32511623,34504132,0,0,0
Mike Muscala,LAL,5000000,5000000,0,0,0,0,0
Mike Scott,PHI,14092850,4320500,0,0,0,0,0
Miles Bridges,CHO,6962040,3206640,3755400,3934320,5421493,0,0
Miles Plumlee,ATL,12500000,12500000,12500000,0,0,0,0
Miloš Teodosić,LAC,6300000,6300000,0,0,0,0,0
Miroslav Raduljica,LAC,252043,252043,0,0,0,0,0
Mirza Teletović,MIL,10500000,3500000,3500000,3500000,0,0,0
Mitch Creek,BRK,94742,94742,0,0,0,0,0
Mitch Creek,MIN,56845,56845,0,0,0,0,0
Mitchell Robinson,NYK,3045152,1485440,1559712,1663861,1802057,0,0
Mohamed Bamba,ORL,24100422,4865040,5697600,5969040,7568742,0,0
Monta Ellis,IND,8981600,2245400,2245400,2245400,2245400,0,0
Monte Morris,DEN,2937614,1349383,1588231,1663861,0,0,0
Montrezl Harrell,LAC,12000000,6000000,6000000,0,0,0,0
Moritz Wagner,LAL,1762080,1762080,2063520,3893618,2161920,0,0
Myles Turner,IND,75410284,3410284,18000000,18000000,18000000,18000000,0
Nemanja Bjelica,SAC,13325000,6500000,6825000,7150000,0,0,0
Nenê Hilário,HOU,3651480,3651480,0,0,0,0,0
Nerlens Noel,OKC,3786023,1757429,0,0,0,0,0
Nick Young,DEN,311070,311070,0,0,0,0,0
Nicolas Batum,CHO,49565217,24000000,25565217,27130434,0,0,0
Nik Stauskas,CLE,540472,540472,0,0,0,0,0
Nik Stauskas,IND,1621415,1621415,0,0,0,0,0
Nikola Jokić,DEN,142710045,24605181,26573595,28542009,30510423,32478837,0
Nikola Mirotić,MIL,12500000,12500000,0,0,0,0,0
Nikola Vučević,ORL,112750000,12750000,0,0,0,0,0
Noah Vonleh,NYK,1621415,1621415,0,0,0,0,0
Norman Powell,TOR,30349728,9367200,10116576,10865952,11615328,0,0
OG Anunoby,TOR,4234560,1952760,2281800,3872215,0,0,0
Okaro White,WAS,264919,264919,0,0,0,0,0
Omari Spellman,ATL,1620480,1620480,1897800,1988280,3588845,0,0
