Player,Position,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,role
Jahlil Okafor,C,New Orleans Pelicans,24,10.5,18.0,0.586,0.0,0.2,0.2,10.5,17.7,0.591,2.9,4.4,0.6629999999999999,4.1,9.7,13.8,2.0,0.7,2.0,2.6,4.8,24.1,115.0,112,23,59,935,17.9,0.603,0.014,0.246,9.2,21.4,15.4,6.3,0.7,3.5,11.5,19.9,1.4,0.8,2.2,0.115,-1.7,-0.5,-2.3,-0.1,1621330,1567007,1702486,0,0,0,0,SU
Marcin Gortat,C,Los Angeles Clippers,43,6.2,11.7,0.532,0.0,0.0,,6.2,11.7,0.532,2.2,3.0,0.7290000000000001,4.2,12.2,16.4,4.1,0.4,1.5,3.1,5.8,14.6,110.0,110,34,47,751,12.8,0.562,0.0,0.258,9.8,26.5,18.4,12.0,0.4,2.5,19.4,14.4,0.6,0.8,1.4,0.08900000000000001,-2.5,1.4,-1.1,0.2,13565218,13565218,0,0,0,0,0,SU
Landry Shamet,SG,Los Angeles Clippers,23,5.9,14.3,0.414,4.6,10.3,0.45,1.3,4.0,0.322,2.1,2.7,0.795,0.5,3.3,3.8,3.9,0.9,0.1,1.3,3.3,18.6,120.0,116,21,25,694,11.3,0.601,0.7190000000000001,0.18600000000000005,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15.0,1.1,0.3,1.4,0.094,2.1,-2.3,-0.2,0.3,3698760,1703640,1995120,2090040,3768342,0,0,SU
Tyrone Wallace,PG,Los Angeles Clippers,0,6.9,16.3,0.424,0.3,1.4,0.211,6.6,14.9,0.444,2.3,4.3,0.526,1.5,6.1,7.6,3.2,1.6,0.5,2.7,6.2,16.4,89.0,112,24,62,628,7.0,0.45,0.08800000000000001,0.263,3.5,13.2,8.5,9.5,1.6,0.9,12.9,18.7,-0.8,0.5,-0.3,-0.023,-5.5,-0.9,-6.3,-0.7,1349383,1349383,1588231,0,0,0,0,SU
Ivica Zubac,C,Los Angeles Clippers,25,9.0,16.8,0.5379999999999999,0.0,0.0,,9.0,16.8,0.5379999999999999,4.0,5.4,0.733,5.5,12.5,18.0,3.4,0.9,2.2,3.3,5.8,22.0,113.0,108,21,26,524,18.3,0.574,0.0,0.32299999999999995,12.7,27.2,20.2,10.9,0.9,3.6,14.8,20.1,0.7,0.7,1.4,0.132,-1.2,1.5,0.3,0.3,22544951,1544951,0,0,0,0,0,SU
Garrett Temple,SG,Los Angeles Clippers,6,3.9,9.8,0.396,1.5,5.0,0.29600000000000004,2.4,4.8,0.5,2.1,2.9,0.742,0.9,5.0,5.9,3.4,2.4,0.5,1.5,6.5,11.4,106.0,111,32,26,510,8.0,0.514,0.509,0.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,0.2,0.5,0.6,0.061,-1.3,0.8,-0.4,0.2,8000000,8000000,0,0,0,0,0,SU
Tobias Harris,PF,Philadelphia 76ers,27,9.4,20.0,0.469,2.2,6.8,0.326,7.2,13.2,0.542,3.7,4.4,0.841,1.6,9.1,10.7,4.0,0.6,0.7,2.1,3.1,24.6,112.0,112,26,27,944,15.3,0.562,0.338,0.221,3.7,19.7,11.9,12.6,0.6,1.1,8.8,21.3,1.2,0.9,2.1,0.105,0.1,-0.8,-0.7,0.3,194800000,14800000,0,0,0,0,0,SU
Furkan Korkmaz,SG,Philadelphia 76ers,7,6.8,17.0,0.4,3.3,10.0,0.326,3.5,7.0,0.505,2.5,3.1,0.818,1.1,6.3,7.4,3.6,2.0,0.1,1.7,4.3,19.4,108.0,110,21,48,679,11.5,0.528,0.588,0.18,2.6,13.8,8.3,10.7,2.0,0.2,8.6,17.9,0.4,0.7,1.1,0.079,-0.8,-1.5,-2.2,0.0,1740000,1740000,0,0,0,0,0,SU
Mike Scott,PF,Philadelphia 76ers,3,5.5,13.9,0.4,3.6,8.7,0.412,2.0,5.2,0.38,0.7,1.1,0.667,1.4,6.1,7.4,1.6,0.7,0.4,1.2,5.0,15.4,107.0,113,30,27,647,7.7,0.537,0.626,0.079,3.2,13.2,8.3,4.6,0.7,0.6,8.0,13.8,0.2,0.5,0.7,0.052000000000000005,-1.4,-1.7,-3.1,-0.2,14092850,4320500,0,0,0,0,0,SU
Jonah Bolden,PF,Philadelphia 76ers,10,5.9,12.0,0.494,2.5,7.1,0.354,3.4,4.9,0.6970000000000001,1.0,2.0,0.481,3.5,8.7,12.2,3.0,1.3,2.9,2.7,7.3,15.3,111.0,107,23,44,639,12.7,0.595,0.593,0.16699999999999998,8.0,19.0,13.7,8.5,1.3,4.8,17.2,13.8,0.5,0.9,1.4,0.106,-0.8,2.0,1.2,0.5,3388450,1690000,1698450,1766550,1845000,0,0,SU
Amir Johnson,C,Philadelphia 76ers,6,7.1,14.0,0.503,1.1,3.6,0.3,6.0,10.4,0.573,2.8,3.7,0.7559999999999999,4.2,8.9,13.1,5.4,1.4,1.2,4.0,8.8,17.9,109.0,109,31,51,529,13.1,0.574,0.255,0.261,9.7,19.5,14.7,16.0,1.4,1.9,20.5,17.4,0.4,0.7,1.1,0.098,-1.4,0.6,-0.7,0.2,2393887,2393887,0,0,0,0,0,SU
Luke Kennard,SG,Detroit Pistons,10,7.8,17.8,0.438,3.6,9.2,0.394,4.2,8.6,0.486,1.7,2.1,0.836,0.4,5.9,6.3,3.9,0.9,0.3,2.0,3.2,21.0,110.0,112,22,63,1437,11.9,0.56,0.517,0.117,0.9,13.5,7.0,12.3,0.9,0.6,9.4,18.1,1.3,1.3,2.5,0.085,-0.5,-1.0,-1.5,0.2,7102440,3275280,3827160,5273826,0,0,0,SU
Ish Smith,PG,Detroit Pistons,0,8.1,19.3,0.419,1.7,5.3,0.326,6.3,14.0,0.455,1.9,2.4,0.758,0.9,4.8,5.7,8.0,1.1,0.4,2.4,4.3,19.7,105.0,112,30,56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.7,-1.1,-2.8,-0.2,6000000,6000000,0,0,0,0,0,SU
Zaza Pachulia,C,Detroit Pistons,3,4.8,10.8,0.44,0.0,0.2,0.0,4.8,10.6,0.45,5.4,7.0,0.782,5.6,9.3,14.9,5.1,1.7,1.0,3.2,8.5,15.0,114.0,107,34,68,878,13.7,0.539,0.021,0.642,11.9,21.5,16.5,14.7,1.7,1.6,18.7,15.0,1.1,1.3,2.3,0.128,-2.1,2.4,0.2,0.5,2393887,2393887,0,0,0,0,0,SU
Wayne Ellington,SG,Detroit Pistons,26,7.4,17.6,0.421,5.2,14.0,0.373,2.2,3.6,0.607,1.6,2.1,0.758,0.5,3.4,3.9,2.8,1.9,0.2,1.7,3.4,21.7,114.0,111,31,28,764,12.5,0.584,0.795,0.121,1.1,7.7,4.3,8.6,1.9,0.3,8.3,17.7,0.9,0.7,1.6,0.102,1.7,-1.1,0.6,0.5,2383076,2383076,0,0,0,0,0,SU
José Calderón,PG,Detroit Pistons,0,3.5,9.4,0.375,1.1,4.4,0.246,2.4,4.9,0.4920000000000001,0.7,0.9,0.818,0.9,3.8,4.7,9.0,1.2,0.2,2.7,5.0,8.8,102.0,112,37,49,632,7.1,0.453,0.475,0.092,1.8,8.8,5.2,24.9,1.2,0.4,21.9,10.9,0.0,0.5,0.6,0.043,-4.0,-1.2,-5.1,-0.5,2393887,2393887,0,0,0,0,0,SU
Gerald Green,SG,Houston Rockets,0,7.7,19.2,0.4,5.2,14.7,0.354,2.5,4.6,0.547,1.9,2.3,0.838,1.0,5.1,6.1,1.3,1.1,0.9,1.8,4.2,22.5,107.0,113,33,73,1473,11.4,0.555,0.763,0.118,2.2,11.7,6.8,4.1,1.1,1.6,8.3,19.5,0.9,1.0,1.9,0.061,-0.8,-2.6,-3.4,-0.5,4958640,2393887,0,0,0,0,0,SU
Austin Rivers,SG,Houston Rockets,13,5.7,13.8,0.413,2.6,8.1,0.321,3.1,5.7,0.541,0.9,1.8,0.51,0.5,2.8,3.3,4.0,1.1,0.5,1.2,4.9,14.9,109.0,115,26,47,1345,8.2,0.511,0.585,0.13,1.2,6.4,3.7,11.7,1.1,0.8,7.4,13.9,0.8,0.6,1.4,0.05,-1.4,-1.5,-2.9,-0.3,3329641,1155323,0,0,0,0,0,SU
Danuel House,SF,Houston Rockets,13,5.9,12.6,0.468,3.7,8.9,0.416,2.2,3.7,0.595,2.8,3.6,0.789,1.3,5.8,7.0,2.0,1.1,0.6,1.8,4.0,18.3,123.0,113,25,39,979,12.2,0.6459999999999999,0.706,0.282,2.8,13.3,7.9,5.9,1.1,1.0,11.0,14.1,1.6,0.7,2.3,0.113,0.4,-1.1,-0.6,0.3,11094003,94003,0,0,0,0,0,SU
Gary Clark,PF,Houston Rockets,2,3.8,11.6,0.331,3.1,10.6,0.297,0.7,1.0,0.6920000000000001,0.5,0.5,1.0,1.8,7.0,8.9,1.4,1.5,2.0,0.5,3.6,11.3,108.0,110,24,51,641,9.2,0.48,0.914,0.046,4.1,16.2,10.0,3.8,1.5,3.5,4.3,10.9,0.3,0.7,1.0,0.071,-2.4,0.6,-1.8,0.0,2013724,596872,1416852,1663861,0,0,0,SU
Kenneth Faried,C,Houston Rockets,13,10.5,17.9,0.5870000000000001,0.6,1.6,0.35,10.0,16.3,0.611,4.3,6.7,0.6509999999999999,6.6,10.0,16.6,1.4,1.2,1.5,2.2,6.0,26.0,126.0,109,29,25,610,21.8,0.622,0.09,0.3720000000000001,14.6,23.0,18.7,4.9,1.2,2.6,9.4,20.4,1.8,0.7,2.5,0.198,0.1,-0.9,-0.7,0.2,917272,917272,0,0,0,0,0,SU
Ante Žižić,C,Cleveland Cavaliers,25,8.4,15.2,0.5529999999999999,0.0,0.0,,8.4,15.2,0.5529999999999999,4.3,6.1,0.705,5.0,9.7,14.7,2.4,0.6,1.0,2.8,5.2,21.1,116.0,117,22,59,1082,16.2,0.59,0.0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.7,-1.4,-3.1,-0.3,4234560,1952760,2281800,3872215,0,0,0,SU
David Nwaba,SG,Cleveland Cavaliers,14,6.4,13.2,0.481,1.2,3.8,0.32,5.1,9.4,0.545,2.9,4.3,0.682,2.1,6.2,8.2,2.7,1.8,0.9,1.5,5.4,16.9,115.0,116,26,51,984,12.5,0.5579999999999999,0.28600000000000003,0.324,4.4,14.4,9.2,8.1,1.8,1.5,8.8,14.6,1.1,0.3,1.4,0.069,-1.1,-0.6,-1.7,0.1,1512601,1512601,0,0,0,0,0,SU
Matthew Dellavedova,PG,Cleveland Cavaliers,0,6.4,15.5,0.413,2.8,8.3,0.336,3.6,7.2,0.5,2.6,3.3,0.792,0.4,4.2,4.7,10.6,0.8,0.1,4.0,4.6,18.2,107.0,121,28,36,715,11.5,0.537,0.534,0.215,0.9,9.9,5.2,31.3,0.8,0.2,18.9,18.4,0.5,-0.1,0.4,0.026,-0.8,-4.3,-5.1,-0.6,19215000,9607500,9607500,0,0,0,0,SU
Brandon Knight,PG,Cleveland Cavaliers,26,7.1,17.1,0.413,2.9,7.8,0.371,4.2,9.3,0.448,1.4,1.8,0.7829999999999999,0.7,3.3,4.0,5.0,1.5,0.2,2.0,3.9,18.5,106.0,119,27,27,618,10.5,0.515,0.455,0.108,1.5,7.7,4.5,15.1,1.5,0.3,10.1,17.6,0.3,0.0,0.2,0.019,-1.0,-2.9,-3.8,-0.3,30275000,14631250,15643750,0,0,0,0,SU
Kevin Love,PF,Cleveland Cavaliers,21,9.1,23.5,0.385,4.4,12.2,0.361,4.7,11.3,0.412,8.6,9.5,0.904,2.7,17.1,19.9,4.0,0.5,0.4,3.5,4.5,31.1,112.0,114,30,22,598,19.5,0.561,0.519,0.403,5.9,40.0,22.2,12.8,0.5,0.7,11.2,27.4,1.0,0.4,1.3,0.106,0.8,-2.4,-1.7,0.0,144519025,24119025,28900000,31300000,31300000,28900000,0,SU
