Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Raul Neto,PG,26,Utah Jazz,37,474,13.5,0.5579999999999999,0.373,0.205,1.4,12.6,7.1,28.7,1.4,0.7,16.6,19.0,0.5,0.6,1.1,0.11599999999999999,-1.0,-0.6,-1.6,0.0,2150000,2150000,0,0,0,0,0
Georges Niang,PF,25,Utah Jazz,59,516,13.0,0.613,0.58,0.133,2.4,15.7,9.1,10.1,0.9,0.9,10.7,17.8,0.7,0.7,1.3,0.12300000000000001,-0.2,-0.8,-1.1,0.1,1512601,1512601,1645357,1783557,0,0,0
Joakim Noah,C,33,Memphis Grizzlies,42,693,18.6,0.5710000000000001,0.005,0.512,9.2,29.6,19.3,20.6,1.4,4.2,16.1,20.0,1.0,1.2,2.2,0.15,-1.9,3.5,1.6,0.6,0,1731173,0,0,0,0,0
Nerlens Noel,C,24,Oklahoma City Thunder,77,1055,19.3,0.608,0.0,0.28600000000000003,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,1.9,2.5,4.3,0.198,-1.6,5.5,3.9,1.6,3786023,1757429,0,0,0,0,0
Dirk Nowitzki,PF,40,Dallas Mavericks,51,795,9.6,0.469,0.545,0.133,0.7,20.5,10.6,6.9,0.5,1.9,4.3,22.5,-0.5,0.8,0.3,0.016,-3.8,-2.1,-5.9,-0.8,5000000,5000000,0,0,0,0,0
Frank Ntilikina,PG,20,New York Knicks,43,904,6.0,0.41700000000000004,0.408,0.106,1.4,8.9,5.0,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-4.5,-1.2,-5.7,-0.8,9011520,4155720,4855800,6176578,0,0,0
James Nunnally,SF,28,Minnesota Timberwolves,13,64,12.1,0.593,0.619,0.19,0.0,6.8,3.3,10.9,0.7,0.0,4.2,15.6,0.1,0.0,0.1,0.09699999999999999,0.3,-4.5,-4.2,0.0,655632,655632,0,0,0,0,0
Jusuf Nurkić,C,24,Portland Trail Blazers,72,1974,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.18899999999999997,1.6,3.6,5.1,3.5,39111111,11111111,12000000,12000000,12000000,0,0
David Nwaba,SG,26,Cleveland Cavaliers,51,984,12.5,0.5579999999999999,0.28600000000000003,0.324,4.4,14.4,9.2,8.1,1.8,1.5,8.8,14.6,1.1,0.3,1.4,0.069,-1.1,-0.6,-1.7,0.1,1512601,1512601,0,0,0,0,0
Royce O'Neale,SF,25,Utah Jazz,82,1671,9.0,0.589,0.513,0.122,1.5,16.7,9.2,10.0,1.5,1.1,16.2,11.0,0.7,2.5,3.3,0.094,-2.0,2.1,0.1,0.9,1378242,1378242,1618520,0,0,0,0
Kyle O'Quinn,C,28,Indiana Pacers,45,371,16.8,0.537,0.08800000000000001,0.154,8.9,26.4,17.8,22.4,1.2,6.0,17.6,20.8,0.2,0.8,1.0,0.125,-2.4,4.1,1.8,0.4,4449000,4449000,0,0,0,0,0
Semi Ojeleye,PF,24,Boston Celtics,56,594,8.5,0.531,0.563,0.247,4.3,11.2,7.7,5.1,0.8,0.6,9.8,14.1,0.2,0.5,0.7,0.057,-2.5,-1.7,-4.3,-0.3,2996762,1378242,1618520,1752950,0,0,0
Jahlil Okafor,C,23,New Orleans Pelicans,59,935,17.9,0.603,0.013999999999999999,0.24600000000000002,9.2,21.4,15.4,6.3,0.7,3.5,11.5,19.9,1.4,0.8,2.2,0.115,-1.7,-0.5,-2.3,-0.1,1621330,1567007,1702486,0,0,0,0
Élie Okobo,PG,21,Phoenix Suns,53,958,7.6,0.489,0.455,0.162,1.4,10.1,5.7,18.7,1.6,0.6,18.2,17.0,-0.7,0.2,-0.5,-0.027000000000000003,-3.7,-2.2,-5.9,-0.9,2655316,1238464,1416852,1663861,1802057,0,0
Josh Okogie,SG,20,Minnesota Timberwolves,74,1757,9.4,0.49200000000000005,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,-0.1,1.4,1.2,0.034,-2.0,0.4,-1.7,0.1,4691400,2160720,2530680,2651040,4087904,0,0
Victor Oladipo,SG,26,Indiana Pacers,36,1147,17.6,0.519,0.36700000000000005,0.24,2.1,17.1,9.8,25.2,2.6,0.9,11.2,27.9,0.4,1.9,2.3,0.09699999999999999,1.3,1.0,2.3,1.3,63000000,21000000,21000000,21000000,0,0,0
Kelly Olynyk,PF,27,Miami Heat,79,1812,14.4,0.61,0.5660000000000001,0.32799999999999996,4.2,17.8,11.0,11.4,1.4,1.8,15.0,18.0,2.3,2.5,4.7,0.126,0.3,0.8,1.1,1.4,23805412,12137527,11667885,12198243,0,0,0
Cedi Osman,SF,23,Cleveland Cavaliers,76,2444,11.5,0.536,0.44299999999999995,0.214,2.0,14.8,8.1,12.1,1.2,0.4,11.0,18.6,1.2,0.2,1.5,0.028999999999999998,-0.4,-1.7,-2.1,-0.1,5682143,2775000,2907143,0,0,0,0
Kelly Oubre,SF,23,Phoenix Suns,40,1180,16.4,0.555,0.384,0.29600000000000004,4.3,14.2,9.2,8.7,2.3,2.8,10.7,24.7,0.5,0.8,1.3,0.054000000000000006,-0.4,-0.8,-1.2,0.2,33208630,3208630,0,0,0,0,0
Zaza Pachulia,C,34,Detroit Pistons,68,878,13.7,0.539,0.021,0.642,11.9,21.5,16.5,14.7,1.7,1.6,18.7,15.0,1.1,1.3,2.3,0.128,-2.1,2.4,0.2,0.5,2393887,2393887,0,0,0,0,0
Jabari Parker,PF,23,Washington Wizards,25,682,17.0,0.5870000000000001,0.284,0.267,5.9,23.0,14.3,15.4,1.6,2.0,17.4,24.0,0.3,0.6,0.9,0.063,-0.8,0.1,-0.7,0.2,20000000,20000000,0,0,0,0,0
Tony Parker,PG,36,Charlotte Hornets,56,1003,15.3,0.512,0.11,0.268,1.5,7.6,4.5,33.3,1.0,0.6,12.7,25.5,0.6,0.3,0.9,0.044000000000000004,-1.5,-3.7,-5.3,-0.8,5000000,5000000,0,0,0,0,0
Chandler Parsons,SF,30,Memphis Grizzlies,25,496,8.5,0.484,0.516,0.13699999999999998,0.9,15.2,7.9,13.4,1.9,1.0,14.2,20.3,-0.6,0.6,0.0,-0.004,-3.7,-0.6,-4.3,-0.3,24107258,24107258,25102511,0,0,0,0
